id,name,team,position,jersey,dob,age,western,chinese,chineseEnglish,chineseYearOnly,cnyDiffers,lifePath,lifePathDigitSum,natalCompound,yearsExp,college
00-0036378,Michael Danna,BUF,LB,51,1997-12-04,28,Sagittarius,Ox,Fire Ox,Ox,false,42/6,33,33,6,Michigan
00-0035933,Michael Hoecht,BUF,LB,55,1997-10-05,28,Libra,Ox,Fire Ox,Ox,false,41/5,32/5,32/5,6,Brown
00-0038548,O'Cyrus Torrence,BUF,OL,64,2000-01-20,26,Aquarius,Rabbit,Earth Rabbit,Dragon,true,23/5,5,5,3,Florida; Louisiana-Lafayette
00-0039875,Ray Davis,BUF,RB,7,1999-11-20,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,59/14/5,32/5,32/5,2,Kentucky; Vanderbilt; Temple
00-0032497,Reid Ferguson,BUF,LS,69,1994-03-24,32,Aries,Dog,Wood Dog,Dog,false,50/5,32/5,32/5,10,LSU
00-0036037,Sam Franklin Jr.,BUF,DB,28,1996-02-02,30,Aquarius,Pig,Wood Pig,Rat,true,29/11,29/11,29/11,6,Temple
00-0036976,Spencer Brown,BUF,OL,79,1998-02-28,28,Pisces,Tiger,Earth Tiger,Tiger,false,57/12/3,39/12/3,39/12/3,5,Northern Iowa
00-0037254,Terrel Bernard,BUF,LB,8,1999-05-07,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,40/4,40/4,40/4,4,Baylor
00-0041036,TJ Parker,BUF,LB,99,2004-09-19,22,Virgo,Monkey,Wood Monkey,Monkey,false,34/7,25/7,25/7,0,Clemson
00-0041126,Tommy Doman Jr.,BUF,P,39,2002-09-01,24,Virgo,Horse,Water Horse,Horse,false,14/5,14/5,14/5,0,Florida; Michigan
00-0039882,Tylan Grable,BUF,OL,68,1999-10-04,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,42/6,33,33,2,UCF; Jacksonville State
00-0036162,Tyler Bass,BUF,K,16,1997-02-14,29,Aquarius,Ox,Fire Ox,Ox,false,42/6,33,33,6,Georgia Southern
00-0041148,Aaron Hall,CAR,DL,94,2003-04-18,23,Aries,Goat,Water Goat,Goat,false,27/9,18/9,18/9,0,Duke
00-0036265,AJ Dillon,CAR,RB,28,1998-05-02,28,Taurus,Tiger,Earth Tiger,Tiger,false,34/7,34/7,34/7,6,Boston College
00-0038101,Akayleb Evans,CAR,DB,29,1999-06-22,27,Cancer,Rabbit,Earth Rabbit,Rabbit,false,56/11,38/11,38/11,4,Missouri
00-0035687,Bobby Okereke,CAR,LB,58,1996-07-29,30,Leo,Rat,Fire Rat,Rat,false,61/7,43/7,43/7,7,Stanford
00-0039150,Bryce Young,CAR,QB,9,2001-07-25,25,Leo,Snake,Metal Snake,Snake,false,35/8,17/8,17/8,3,Alabama
00-0038840,Brycen Tremayne,CAR,WR,87,1999-11-18,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,57/12/3,39/12/3,39/12/3,3,Stanford
00-0040174,Cam Jackson,CAR,DL,99,2002-08-07,24,Leo,Horse,Water Horse,Horse,false,19/10/1,19/10/1,19/10/1,1,Florida; Memphis
00-0036555,Chuba Hubbard,CAR,RB,30,1999-06-11,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,45/9,36/9,36/9,5,Oklahoma State
00-0038493,Claudin Cherelus,CAR,LB,53,1999-02-09,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,39/12/3,39/12/3,39/12/3,3,Alcorn State; UMass Amherst
00-0039242,Corey Bullock,CAR,OL,67,2001-12-09,24,Sagittarius,Snake,Metal Snake,Snake,false,24/6,15/6,15/6,2,Maryland; North Carolina Central
00-0036417,Damien Lewis,CAR,OL,68,1997-03-21,29,Aries,Ox,Fire Ox,Ox,false,50/5,32/5,32/5,6,LSU; Northwest Mississippi CC
00-0031610,Darren Waller,CAR,TE,88,1992-09-13,34,Virgo,Monkey,Water Monkey,Monkey,false,43/7,34/7,34/7,11,Georgia Tech
00-0036220,Derrick Brown,CAR,DL,95,1998-04-15,28,Aries,Tiger,Earth Tiger,Tiger,false,46/10/1,37/10/1,37/10/1,6,Auburn
00-0037244,Devin Lloyd,CAR,LB,55,1998-09-30,27,Libra,Tiger,Earth Tiger,Tiger,false,66/12/3,39/12/3,39/12/3,4,Utah
00-0036825,Feleipe Franks,CAR,TE,81,1997-12-22,28,Capricorn,Ox,Fire Ox,Ox,false,60/6,33,33,5,Arkansas
00-0036356,Isaiah Simmons,CAR,DB,27,1998-07-26,28,Leo,Tiger,Earth Tiger,Tiger,false,60/6,42/6,42/6,6,Clemson
00-0026027,J.J. Jansen,CAR,LS,44,1986-01-20,40,Aquarius,Ox,Wood Ox,Tiger,true,45/9,27/9,27/9,18,Notre Dame
00-0041119,Jackson Kuwatch,CAR,LB,46,2003-05-19,23,Taurus,Goat,Water Goat,Goat,false,29/11,20/2,20/2,0,Miami (Ohio); Ohio State
00-0036934,Jaelan Phillips,CAR,LB,5,1999-05-28,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,61/7,43/7,43/7,5,Miami
00-0039491,Jalen Coker,CAR,WR,18,2001-10-30,24,Scorpio,Snake,Metal Snake,Snake,false,43/7,7,7,2,Holy Cross
00-0036944,Jaycee Horn,CAR,DB,8,1999-11-26,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,65/11,38/11,38/11,5,South Carolina
00-0037179,Jeremiah Moon,CAR,LB,56,1998-08-18,28,Leo,Tiger,Earth Tiger,Tiger,false,53/8,44/8,44/8,4,Florida
00-0037614,John Metchie III,CAR,WR,13,2000-07-18,26,Cancer,Dragon,Metal Dragon,Dragon,false,27/9,18/9,18/9,4,Alabama
00-0039344,Jonathon Brooks,CAR,RB,25,2003-07-21,23,Cancer,Goat,Water Goat,Goat,false,33,15/6,15/6,2,Texas
00-0038102,Kenny Pickett,CAR,QB,12,1998-06-06,28,Gemini,Tiger,Earth Tiger,Tiger,false,39/12/3,39/12/3,39/12/3,4,Pittsburgh
00-0040159,Lathan Ransom,CAR,DB,22,2002-07-16,24,Cancer,Horse,Water Horse,Horse,false,27/9,18/9,18/9,1,Ohio State
00-0041478,Lee Hunter,CAR,DL,92,2002-07-02,24,Cancer,Horse,Water Horse,Horse,false,13/4,13/4,13/4,0,Texas Tech; UCF; Auburn
00-0037814,Luke Fortner,CAR,OL,77,1998-05-15,28,Taurus,Tiger,Earth Tiger,Tiger,false,47/11,38/11,38/11,4,Kentucky
00-0035277,Mike Jackson,CAR,DB,2,1997-01-10,29,Capricorn,Rat,Fire Rat,Ox,true,37/10/1,28/10/1,28/10/1,7,Miami
00-0040187,Mitchell Evans,CAR,TE,84,2003-05-18,23,Taurus,Goat,Water Goat,Goat,false,28/10/1,19/10/1,19/10/1,1,Notre Dame
00-0041034,Monroe Freeling,CAR,OL,57,2004-07-25,22,Leo,Monkey,Wood Monkey,Monkey,false,38/11,20/2,20/2,0,Georgia
00-0035669,Nick Scott,CAR,DB,21,1995-05-17,31,Taurus,Pig,Wood Pig,Pig,false,46/10/1,37/10/1,37/10/1,7,Penn State
00-0040136,Princely Umanmielen,CAR,LB,3,2002-04-18,24,Aries,Horse,Water Horse,Horse,false,26/8,17/8,17/8,1,Mississippi; Florida
00-0037196,Rasheed Walker,CAR,OL,63,2000-02-13,26,Aquarius,Dragon,Metal Dragon,Dragon,false,17/8,8,8,4,Penn State
00-0036325,Robert Hunt,CAR,OL,50,1996-08-25,30,Virgo,Rat,Fire Rat,Rat,false,58/13/4,40/4,40/4,6,Louisiana-Lafayette
00-0040279,Ryan Fitzgerald,CAR,K,10,2000-08-13,26,Leo,Dragon,Metal Dragon,Dragon,false,23/5,14/5,14/5,1,Florida State
00-0041071,Sam Hecht,CAR,OL,75,2003-04-03,23,Aries,Goat,Water Goat,Goat,false,12/3,12/3,12/3,0,Kansas State
00-0030092,Sam Martin,CAR,P,6,1990-02-27,36,Pisces,Horse,Metal Horse,Horse,false,48/12/3,30/3,30/3,13,Appalachian State
00-0036653,Stone Forsythe,CAR,OL,73,1997-12-29,28,Capricorn,Ox,Fire Ox,Ox,false,67/13/4,40/4,40/4,5,Florida
00-0040458,TeRah Edwards,CAR,DL,93,2001-06-03,25,Gemini,Snake,Metal Snake,Snake,false,12/3,12/3,12/3,1,Illinois; Northwestern
00-0040124,Tetairoa McMillan,CAR,WR,4,2003-04-05,23,Aries,Goat,Water Goat,Goat,false,14/5,14/5,14/5,1,Arizona
00-0038791,Thomas Incoom,CAR,LB,48,1999-02-01,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,31/4,31/4,31/4,3,Central Michigan; Valdosta State
00-0037005,Tommy Tremble,CAR,TE,82,2000-06-02,26,Gemini,Dragon,Metal Dragon,Dragon,false,10/1,10/1,10/1,5,Notre Dame
00-0036962,Tre'von Moehrig,CAR,DB,7,1999-06-16,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,50/5,41/5,41/5,5,TCU
00-0036305,Trevis Gipson,CAR,LB,52,1997-06-13,29,Gemini,Ox,Fire Ox,Ox,false,45/9,36/9,36/9,6,Tulsa
00-0041063,Will Lee III,CAR,DB,24,2003-04-09,23,Aries,Goat,Water Goat,Goat,false,18/9,18/9,18/9,0,Texas A&M; Kansas State
00-0039342,Xavier Legette,CAR,WR,17,2001-01-29,25,Aquarius,Snake,Metal Snake,Snake,false,33,15/6,15/6,2,South Carolina
00-0041076,Zakee Wheatley,CAR,DB,20,2002-02-28,24,Pisces,Horse,Water Horse,Horse,false,34/7,16/7,16/7,0,Penn State
00-0039840,Austin Booker,CHI,DL,94,2002-12-14,23,Sagittarius,Horse,Water Horse,Horse,false,30/3,12/3,12/3,2,Kansas; Minnesota
00-0041167,Beau Gardner,CHI,LS,45,2001-12-26,24,Capricorn,Snake,Metal Snake,Snake,false,41/5,14/5,14/5,0,Georgia; UCLA
00-0037081,Braxton Jones,CHI,OL,70,1999-03-27,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,58/13/4,40/4,40/4,4,Southern Utah State
00-0031203,Cairo Santos,CHI,K,8,1991-11-12,34,Scorpio,Goat,Metal Goat,Goat,false,43/7,25/7,25/7,12,Tulane
00-0039918,Caleb Williams,CHI,QB,18,2001-11-18,24,Scorpio,Snake,Metal Snake,Snake,false,32/5,14/5,14/5,2,USC; Oklahoma
00-0035357,Cam Lewis,CHI,DB,21,1997-04-13,29,Aries,Ox,Fire Ox,Ox,false,43/7,34/7,34/7,7,Buffalo
00-0038568,Clark Phillips III,CHI,DB,20,2001-12-19,24,Sagittarius,Snake,Metal Snake,Snake,false,34/7,16/7,16/7,3,Utah
00-0036290,Cole Kmet,CHI,TE,85,1999-03-10,27,Pisces,Rabbit,Earth Rabbit,Rabbit,false,41/5,32/5,32/5,6,Notre Dame
00-0040126,Colston Loveland,CHI,TE,84,2004-04-09,22,Aries,Monkey,Wood Monkey,Monkey,false,19/10/1,19/10/1,19/10/1,1,Michigan
00-0036275,D'Andre Swift,CHI,RB,4,1999-01-14,27,Capricorn,Tiger,Earth Tiger,Rabbit,true,43/7,34/7,34/7,6,Georgia
00-0037271,D'Marco Jackson,CHI,LB,48,1998-07-20,28,Cancer,Tiger,Earth Tiger,Tiger,false,54/9,36/9,36/9,4,Appalachian State
00-0037843,Daniel Hardy,CHI,DL,92,1998-12-15,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,54/9,36/9,36/9,4,Montana State
00-0038932,Darnell Wright,CHI,OL,58,2001-08-10,25,Leo,Snake,Metal Snake,Snake,false,21/3,12/3,12/3,3,Tennessee
00-0036480,Dayo Odeyingbo,CHI,DL,55,1999-09-24,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,61/7,43/7,43/7,5,Vanderbilt
00-0035525,Devin Bush,CHI,LB,12,1998-07-18,28,Cancer,Tiger,Earth Tiger,Tiger,false,52/7,43/7,43/7,7,Michigan
00-0041538,Dillon Thieneman,CHI,DB,31,2004-08-08,22,Leo,Monkey,Wood Monkey,Monkey,false,22,22,22,0,Oregon; Purdue
00-0037096,Elijah Hicks,CHI,DB,22,1997-09-16,29,Virgo,Ox,Fire Ox,Ox,false,51/6,42/6,42/6,4,California
00-0035588,Garrett Bradbury,CHI,OL,67,1995-06-20,31,Gemini,Pig,Wood Pig,Pig,false,50/5,32/5,32/5,7,N.C. State
00-0031583,Grady Jarrett,CHI,DL,50,1993-04-28,33,Taurus,Rooster,Water Rooster,Rooster,false,54/9,36/9,36/9,11,Clemson
00-0037109,Jack Sanborn,CHI,LB,57,2000-07-29,26,Leo,Dragon,Metal Dragon,Dragon,false,38/11,20/2,20/2,4,Wisconsin
00-0040277,Jahdae Walker,CHI,WR,9,2002-07-05,24,Cancer,Horse,Water Horse,Horse,false,16/7,16/7,16/7,1,Texas A&M; Grand Valley
00-0036337,James Lynch,CHI,DL,97,1999-01-20,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,49/13/4,31/4,31/4,6,Baylor
00-0036292,Jaylon Johnson,CHI,DB,1,1999-04-19,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,51/6,42/6,42/6,6,Utah
00-0032391,Joe Thuney,CHI,OL,62,1992-11-18,33,Scorpio,Monkey,Water Monkey,Monkey,false,50/5,32/5,32/5,10,N.C. State
00-0036258,Jonah Jackson,CHI,OL,73,1997-02-05,29,Aquarius,Rat,Fire Rat,Ox,true,33,33,33,6,Ohio State; Rutgers
00-0041110,Jordan van den Berg,CHI,DL,96,2002-04-12,24,Aries,Horse,Water Horse,Horse,false,20/2,11,11,0,Georgia Tech; Penn State; Iowa Western CC
00-0037129,Josh Blackwell,CHI,DB,39,1999-04-05,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,37/10/1,37/10/1,37/10/1,4,Duke
00-0032464,Kalif Raymond,CHI,WR,14,1994-08-08,32,Leo,Dog,Wood Dog,Dog,false,39/12/3,39/12/3,39/12/3,10,Holy Cross
00-0034320,Kentavius Street,CHI,DL,93,1996-05-08,30,Taurus,Rat,Fire Rat,Rat,false,38/11,38/11,38/11,8,N.C. State
00-0041085,Keyshaun Elliott,CHI,LB,49,2003-12-12,22,Sagittarius,Goat,Water Goat,Goat,false,29/11,11,11,0,Arizona State; New Mexico State
00-0040236,Kyle Monangai,CHI,RB,25,2002-06-06,24,Gemini,Horse,Water Horse,Horse,false,16/7,16/7,16/7,1,Rutgers
00-0041539,Logan Jones,CHI,OL,54,2001-10-29,24,Scorpio,Snake,Metal Snake,Snake,false,42/6,15/6,15/6,0,Iowa
00-0040210,Luke Newman,CHI,OL,65,2002-03-03,24,Pisces,Horse,Water Horse,Horse,false,10/1,10/1,10/1,1,Michigan State; Holy Cross
00-0040735,Luther Burden III,CHI,WR,10,2003-12-12,22,Sagittarius,Goat,Water Goat,Goat,false,29/11,11,11,1,Missouri
00-0041060,Malik Muhammad,CHI,DB,24,2004-09-14,22,Virgo,Monkey,Wood Monkey,Monkey,false,29/11,20/2,20/2,0,Texas
00-0035647,Montez Sweat,CHI,DL,98,1996-09-04,30,Virgo,Rat,Fire Rat,Rat,false,38/11,38/11,38/11,7,Mississippi State; Copiah-Lincoln Junior College; Michigan State
00-0036366,Neville Gallimore,CHI,DL,90,1997-01-17,29,Capricorn,Rat,Fire Rat,Ox,true,44/8,35/8,35/8,6,Oklahoma
00-0039919,Rome Odunze,CHI,WR,15,2002-06-03,24,Gemini,Horse,Water Horse,Horse,false,13/4,13/4,13/4,2,Washington
00-0039021,Roschon Johnson,CHI,RB,23,2001-01-31,25,Aquarius,Snake,Metal Snake,Snake,false,35/8,8,8,3,Texas
00-0041558,Sam Roush,CHI,TE,87,2003-09-06,23,Virgo,Goat,Water Goat,Goat,false,20/2,20/2,20/2,0,Stanford
00-0041175,Skyler Thomas,CHI,DB,38,2003-09-17,23,Virgo,Goat,Water Goat,Goat,false,31/4,22,22,0,Oregon State
00-0035386,T.J. Edwards,CHI,LB,53,1996-08-12,30,Leo,Rat,Fire Rat,Rat,false,45/9,36/9,36/9,7,Wisconsin
00-0039459,Theo Benedet,CHI,OL,79,2001-12-10,24,Sagittarius,Snake,Metal Snake,Snake,false,25/7,7,7,2,University of British Columbia
00-0039745,Tory Taylor,CHI,P,19,1997-07-10,29,Cancer,Ox,Fire Ox,Ox,false,43/7,34/7,34/7,2,Iowa
00-0039071,Tyrique Stevenson,CHI,DB,29,2000-05-26,26,Gemini,Dragon,Metal Dragon,Dragon,false,33,15/6,15/6,3,Miami; Georgia
00-0038416,Tyson Bagent,CHI,QB,17,2000-06-08,26,Gemini,Dragon,Metal Dragon,Dragon,false,16/7,16/7,16/7,3,Shepherd
00-0033579,Xavier Woods,CHI,DB,32,1995-07-26,31,Leo,Pig,Wood Pig,Pig,false,57/12/3,39/12/3,39/12/3,9,Louisiana Tech
00-0041051,Zavion Thomas,CHI,WR,13,2004-02-14,22,Aquarius,Monkey,Wood Monkey,Monkey,false,22,13/4,13/4,0,LSU; Mississippi State
00-0039925,Amarius Mims,CIN,OL,71,2002-10-14,23,Libra,Horse,Water Horse,Horse,false,28/10/1,10/1,10/1,2,Georgia
00-0038619,Andrei Iosivas,CIN,WR,80,1999-10-15,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,53/8,35/8,35/8,3,Princeton
00-0040157,Barrett Carter,CIN,LB,49,2002-10-23,23,Scorpio,Horse,Water Horse,Horse,false,37/10/1,10/1,10/1,1,Clemson
00-0038133,Boye Mafe,CIN,DL,53,1998-11-30,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,68/14/5,32/5,32/5,4,Minnesota
00-0037193,Bryan Cook,CIN,DB,6,1999-09-07,27,Virgo,Rabbit,Earth Rabbit,Rabbit,false,44/8,44/8,44/8,4,Cincinnati; Howard
00-0041546,Cashius Howell,CIN,DL,55,2003-04-16,23,Aries,Goat,Water Goat,Goat,false,25/7,16/7,16/7,0,Texas A&M; Bowling Green
00-0039752,Cedric Johnson,CIN,DL,52,2002-09-06,24,Virgo,Horse,Water Horse,Horse,false,19/10/1,19/10/1,19/10/1,2,Mississippi
00-0038597,Chase Brown,CIN,RB,30,2000-03-21,26,Aries,Dragon,Metal Dragon,Dragon,false,26/8,8,8,3,Illinois; Western Michigan
00-0041069,Colbie Young,CIN,WR,86,2002-07-24,24,Leo,Horse,Water Horse,Horse,false,35/8,17/8,17/8,0,Georgia; Miami; Lackawanna JC
00-0038642,D.J. Ivey,CIN,DB,38,2000-02-25,26,Pisces,Dragon,Metal Dragon,Dragon,false,29/11,11,11,3,Miami
00-0035702,Dalton Risner,CIN,OL,66,1995-07-13,31,Cancer,Pig,Wood Pig,Pig,false,44/8,35/8,35/8,7,Kansas State
00-0037743,Daxton Hill,CIN,DB,23,2000-09-29,25,Libra,Dragon,Metal Dragon,Dragon,false,40/4,22,22,4,Michigan
00-0040738,Demetrius Knight Jr.,CIN,LB,44,2000-07-21,26,Cancer,Dragon,Metal Dragon,Dragon,false,30/3,12/3,12/3,1,South Carolina; Charlotte
00-0035683,Dexter Lawrence,CIN,DL,97,1997-11-12,28,Scorpio,Ox,Fire Ox,Ox,false,49/13/4,31/4,31/4,7,Clemson
00-0038549,DJ Turner II,CIN,DB,0,2000-11-09,25,Scorpio,Dragon,Metal Dragon,Dragon,false,22,13/4,13/4,3,Michigan
00-0040785,Dohnte Meyers,CIN,WR,81,2000-07-06,26,Cancer,Dragon,Metal Dragon,Dragon,false,15/6,15/6,15/6,0,Delta State University; Presbyterian College
00-0035631,Drew Sample,CIN,TE,89,1996-04-16,30,Aries,Rat,Fire Rat,Rat,false,45/9,36/9,36/9,7,Washington
00-0040140,Dylan Fairchild,CIN,OL,63,2003-05-08,23,Taurus,Goat,Water Goat,Goat,false,18/9,18/9,18/9,1,Georgia
00-0039814,Erick All,CIN,TE,83,2000-09-13,26,Virgo,Dragon,Metal Dragon,Dragon,false,24/6,15/6,15/6,2,Iowa; Michigan
00-0036854,Evan McPherson,CIN,K,2,1999-07-21,27,Cancer,Rabbit,Earth Rabbit,Rabbit,false,56/11,38/11,38/11,5,Florida
00-0036900,Ja'Marr Chase,CIN,WR,1,2000-03-01,26,Pisces,Dragon,Metal Dragon,Dragon,false,6,6,6,5,LSU
00-0041116,Jack Endries,CIN,TE,84,2004-03-26,22,Aries,Monkey,Wood Monkey,Monkey,false,35/8,17/8,17/8,0,Texas; California
00-0040359,Jacob Bayer,CIN,OL,69,2002-12-12,23,Sagittarius,Horse,Water Horse,Horse,false,28/10/1,10/1,10/1,1,Arkansas State; Lamar
00-0034446,Jalen Davis,CIN,DB,35,1996-02-02,30,Aquarius,Pig,Wood Pig,Rat,true,29/11,29/11,29/11,8,Utah State
00-0040180,Jalen Rivers,CIN,OL,74,2002-09-12,24,Virgo,Horse,Water Horse,Horse,false,25/7,16/7,16/7,1,Miami
00-0039742,Javon Foster,CIN,OL,73,2000-03-31,26,Aries,Dragon,Metal Dragon,Dragon,false,36/9,9,9,2,Missouri
00-0036442,Joe Burrow,CIN,QB,9,1996-12-10,29,Sagittarius,Rat,Fire Rat,Rat,false,47/11,29/11,29/11,6,LSU; Ohio State
00-0026158,Joe Flacco,CIN,QB,16,1985-01-16,41,Capricorn,Rat,Wood Rat,Ox,true,40/4,31/4,31/4,18,Delaware; Pittsburgh
00-0035363,Joe Giles-Harris,CIN,LB,43,1997-04-01,29,Aries,Ox,Fire Ox,Ox,false,31/4,31/4,31/4,7,Duke
00-0033523,Jonathan Allen,CIN,DL,93,1995-01-16,31,Capricorn,Dog,Wood Dog,Pig,true,41/5,32/5,32/5,9,Alabama
00-0038560,Jordan Battle,CIN,DB,27,2000-12-14,25,Sagittarius,Dragon,Metal Dragon,Dragon,false,28/10/1,10/1,10/1,3,Alabama
00-0039908,Kris Jenkins,CIN,DL,90,2001-10-10,24,Libra,Snake,Metal Snake,Snake,false,23/5,5,5,2,Michigan
00-0036231,Kyle Dugger,CIN,DB,29,1996-03-22,30,Aries,Rat,Fire Rat,Rat,false,50/5,32/5,32/5,6,Lenoir Rhyne
00-0034829,Mike Gesicki,CIN,TE,88,1995-10-03,30,Libra,Pig,Wood Pig,Pig,false,37/10/1,28/10/1,28/10/1,8,Penn State
00-0038546,Myles Murphy,CIN,DL,99,2002-01-03,24,Capricorn,Snake,Metal Snake,Horse,true,8,8,8,3,Clemson
00-0034754,Oren Burks,CIN,LB,42,1995-03-21,31,Aries,Pig,Wood Pig,Pig,false,48/12/3,30/3,30/3,8,Vanderbilt
00-0034752,Orlando Brown,CIN,OL,75,1996-05-02,30,Taurus,Rat,Fire Rat,Rat,false,32/5,32/5,32/5,8,Oklahoma
00-0039632,PJ Jules,CIN,DB,37,2001-05-14,25,Taurus,Snake,Metal Snake,Snake,false,22,13/4,13/4,2,Southern Illinois
00-0039323,Ryan Rehkow,CIN,P,8,1998-09-11,28,Virgo,Tiger,Earth Tiger,Tiger,false,47/11,38/11,38/11,2,BYU
00-0033526,Samaje Perine,CIN,RB,34,1995-09-16,31,Virgo,Pig,Wood Pig,Pig,false,49/13/4,40/4,40/4,9,Oklahoma
00-0040756,Shemar Stewart,CIN,DL,94,2003-11-12,22,Scorpio,Goat,Water Goat,Goat,false,28/10/1,10/1,10/1,1,Texas A&M
00-0039313,Swayze Bozeman,CIN,LB,47,1998-11-02,27,Scorpio,Tiger,Earth Tiger,Tiger,false,40/4,31/4,31/4,2,Southern Mississippi; Copiah-Lincoln Junior College
00-0041464,Tacario Davis,CIN,DB,20,2004-08-17,22,Leo,Monkey,Wood Monkey,Monkey,false,31/4,22,22,0,Washington; Arizona
00-0040208,Tahj Brooks,CIN,RB,25,2002-05-13,24,Taurus,Horse,Water Horse,Horse,false,22,13/4,13/4,1,Texas Tech
00-0032445,Ted Karras,CIN,OL,64,1993-03-15,33,Pisces,Rooster,Water Rooster,Rooster,false,40/4,31/4,31/4,10,Illinois
00-0036642,Tedarrell Slaton,CIN,DL,98,1997-10-03,28,Libra,Ox,Fire Ox,Ox,false,39/12/3,30/3,30/3,5,Florida
00-0036410,Tee Higgins,CIN,WR,5,1999-01-18,27,Capricorn,Tiger,Earth Tiger,Rabbit,true,47/11,38/11,38/11,6,Clemson
00-0040379,William Wagner,CIN,LS,46,2000-12-20,25,Sagittarius,Dragon,Metal Dragon,Dragon,false,34/7,7,7,1,Michigan
00-0040255,Adin Huntington,CLE,DL,98,2002-03-18,24,Pisces,Horse,Water Horse,Horse,false,25/7,16/7,16/7,1,Tulane; Louisiana-Monroe; Kent State
00-0038428,Andre Szmyt,CLE,K,25,1998-09-26,27,Libra,Tiger,Earth Tiger,Tiger,false,62/8,44/8,44/8,3,Syracuse
00-0041049,Austin Barber,CLE,OL,58,2003-05-20,23,Taurus,Goat,Water Goat,Goat,false,30/3,12/3,12/3,0,Florida
00-0038710,Blake Whiteheart,CLE,TE,86,2000-03-22,26,Aries,Dragon,Metal Dragon,Dragon,false,27/9,9,9,3,Wake Forest
00-0041131,Carsen Ryan,CLE,TE,48,2003-08-21,23,Leo,Goat,Water Goat,Goat,false,34/7,16/7,16/7,0,BYU; Utah; UCLA
00-0040579,Carson Schwesinger,CLE,LB,49,2003-02-24,23,Pisces,Goat,Water Goat,Goat,false,31/4,13/4,13/4,1,UCLA
00-0034721,Corey Bojorquez,CLE,P,13,1996-09-13,30,Virgo,Rat,Fire Rat,Rat,false,47/11,38/11,38/11,8,New Mexico; Cerritos College
00-0039014,Dawand Jones,CLE,OL,79,2001-08-06,25,Leo,Snake,Metal Snake,Snake,false,17/8,17/8,17/8,3,Ohio State
00-0041037,Denzel Boston,CLE,WR,12,2003-12-06,22,Sagittarius,Goat,Water Goat,Goat,false,23/5,14/5,14/5,0,Washington
00-0034856,Denzel Ward,CLE,DB,21,1997-04-28,29,Taurus,Ox,Fire Ox,Ox,false,58/13/4,40/4,40/4,8,Ohio State
00-0033876,Derek Barnett,CLE,DL,97,1996-06-25,30,Cancer,Rat,Fire Rat,Rat,false,56/11,38/11,38/11,9,Tennessee
00-0033537,Deshaun Watson,CLE,QB,4,1995-09-14,31,Virgo,Pig,Wood Pig,Pig,false,47/11,38/11,38/11,9,Clemson
00-0040263,Donovan McMillon,CLE,DB,31,2002-06-18,24,Gemini,Horse,Water Horse,Horse,false,28/10/1,19/10/1,19/10/1,1,Pittsburgh; Florida
00-0040261,Easton Mascarenas-Arnold,CLE,LB,42,2002-09-13,24,Virgo,Horse,Water Horse,Horse,false,26/8,17/8,17/8,1,USC; Oregon State
00-0035526,Elgton Jenkins,CLE,OL,74,1995-12-26,30,Capricorn,Pig,Wood Pig,Pig,false,62/8,35/8,35/8,7,Mississippi State
00-0041471,Emmanuel McNeil-Warren,CLE,DB,28,2004-01-08,22,Capricorn,Goat,Water Goat,Monkey,true,15/6,15/6,15/6,0,Toledo
00-0036282,Grant Delpit,CLE,DB,9,1998-09-20,28,Virgo,Tiger,Earth Tiger,Tiger,false,56/11,38/11,38/11,6,LSU
00-0040663,Harold Fannin Jr.,CLE,TE,44,2004-07-20,22,Cancer,Monkey,Wood Monkey,Monkey,false,33,15/6,15/6,1,Bowling Green
00-0040782,Isaiah Bond,CLE,WR,0,2004-03-15,22,Pisces,Monkey,Wood Monkey,Monkey,false,24/6,15/6,15/6,1,Texas; Alabama
00-0038574,Isaiah McGuire,CLE,DL,57,2001-07-27,25,Leo,Snake,Metal Snake,Snake,false,37/10/1,19/10/1,19/10/1,3,Missouri
00-0038794,Jaleel McLaughlin,CLE,RB,38,2000-09-13,26,Virgo,Dragon,Metal Dragon,Dragon,false,24/6,15/6,15/6,3,Youngstown State
00-0039852,Jared Verse,CLE,DL,8,2000-11-04,25,Scorpio,Dragon,Metal Dragon,Dragon,false,17/8,8,8,2,Florida State; Albany
00-0036407,Jerry Jeudy,CLE,WR,3,1999-04-24,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,56/11,38/11,38/11,6,Alabama
